frame.number,ip.src,ip.dst,_ws.col.info
69,172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=757 Ack=829 Win=981 Len=36 TSval=2596685420 TSecr=4271056939
70,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
71,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
72,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
73,172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=793 Ack=937 Win=981 Len=0 TSval=2596685428 TSecr=4271056960
74,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
75,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
76,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
77,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=973 Ack=757 Win=2048 Len=0 TSval=4271057038 TSecr=2596685312
78,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=973 Ack=793 Win=2048 Len=0 TSval=4271057039 TSecr=2596685332
79,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
80,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
81,49.228.168.4,172.16.0.4,[TCP Dup ACK 78#1] 59875 → 22 [ACK] Seq=1009 Ack=793 Win=2048 Len=0 TSval=4271057068 TSecr=2596685420 SLE=757 SRE=793
82,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
83,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
84,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1045 Ack=937 Win=2048 Len=0 TSval=4271057078 TSecr=2596685428
85,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1045 Ack=973 Win=2048 Len=0 TSval=4271057087 TSecr=2596685439
86,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
87,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
88,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1081 Ack=1009 Win=2048 Len=0 TSval=4271057111 TSecr=2596685463
89,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
90,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
91,172.16.0.4,8.8.8.8,Echo (ping) request  id=0x1bbb, seq=1/256, ttl=64
92,8.8.8.8,172.16.0.4,Echo (ping) reply    id=0x1bbb, seq=1/256, ttl=116 (request in 91)
93,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1117 Ack=1045 Win=2048 Len=0 TSval=4271057131 TSecr=2596685483
94,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
95,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
96,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
97,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
98,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1189 Ack=1081 Win=2048 Len=0 TSval=4271057153 TSecr=2596685504
99,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
100,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
101,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1225 Ack=1117 Win=2048 Len=0 TSval=4271057176 TSecr=2596685528
102,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1225 Ack=1153 Win=2048 Len=0 TSval=4271057191 TSecr=2596685543
103,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
104,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
105,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1261 Ack=1189 Win=2048 Len=0 TSval=4271057215 TSecr=2596685567
106,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
107,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
108,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1297 Ack=1225 Win=2048 Len=0 TSval=4271057235 TSecr=2596685588
109,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
110,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
111,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1333 Ack=1261 Win=2048 Len=0 TSval=4271057256 TSecr=2596685608
112,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
113,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
114,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1369 Ack=1297 Win=2048 Len=0 TSval=4271057276 TSecr=2596685628
115,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
116,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
117,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1405 Ack=1333 Win=2048 Len=0 TSval=4271057297 TSecr=2596685648
118,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
119,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
120,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
121,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
122,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1477 Ack=1369 Win=2048 Len=0 TSval=4271057317 TSecr=2596685668
123,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1477 Ack=1405 Win=2048 Len=0 TSval=4271057336 TSecr=2596685688
124,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
125,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
126,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1513 Ack=1441 Win=2048 Len=0 TSval=4271057356 TSecr=2596685708
127,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
128,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
129,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1549 Ack=1477 Win=2048 Len=0 TSval=4271057376 TSecr=2596685728
130,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
131,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
132,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1585 Ack=1513 Win=2048 Len=0 TSval=4271057396 TSecr=2596685748
133,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
134,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
135,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1621 Ack=1549 Win=2048 Len=0 TSval=4271057416 TSecr=2596685768
136,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
137,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
138,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1657 Ack=1585 Win=2048 Len=0 TSval=4271057437 TSecr=2596685789
139,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
140,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
