ip.src,ip.dst,_ws.col.info
172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=901 Ack=937 Win=613 Len=36 TSval=2596042116 TSecr=4270413639
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=937 Ack=1081 Win=613 Len=0 TSval=2596042127 TSecr=4270413661
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1081 Ack=901 Win=2048 Len=0 TSval=4270413738 TSecr=2596042009
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1081 Ack=937 Win=2048 Len=0 TSval=4270413738 TSecr=2596042029
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=52)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,[TCP Dup ACK 80#1] 59875 → 22 [ACK] Seq=1117 Ack=937 Win=2048 Len=0 TSval=4270413773 TSecr=2596042116 SLE=901 SRE=937
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1117 Ack=1045 Win=2048 Len=0 TSval=4270413777 TSecr=2596042127
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1117 Ack=1097 Win=2048 Len=0 TSval=4270413779 TSecr=2596042129
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1153 Ack=1133 Win=2048 Len=0 TSval=4270413801 TSecr=2596042151
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1189 Ack=1169 Win=2048 Len=0 TSval=4270413819 TSecr=2596042169
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1225 Ack=1205 Win=2048 Len=0 TSval=4270413841 TSecr=2596042191
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=52)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1261 Ack=1241 Win=2048 Len=0 TSval=4270413860 TSecr=2596042210
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1297 Ack=1277 Win=2048 Len=0 TSval=4270413881 TSecr=2596042231
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1333 Ack=1329 Win=2048 Len=0 TSval=4270413893 TSecr=2596042243
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1333 Ack=1365 Win=2048 Len=0 TSval=4270413901 TSecr=2596042251
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1369 Ack=1401 Win=2048 Len=0 TSval=4270413923 TSecr=2596042271
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1405 Ack=1437 Win=2048 Len=0 TSval=4270413941 TSecr=2596042292
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=148)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=2052)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=884)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=1220)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=2852)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1441 Ack=1473 Win=2048 Len=0 TSval=4270413963 TSecr=2596042313
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=2880)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=312)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1477 Ack=1509 Win=2048 Len=0 TSval=4270413982 TSecr=2596042332
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1513 Ack=8665 Win=1937 Len=0 TSval=4270413999 TSecr=2596042348
49.228.168.4,172.16.0.4,[TCP Window Update] 59875 → 22 [ACK] Seq=1513 Ack=8665 Win=2048 Len=0 TSval=4270413999 TSecr=2596042348
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1513 Ack=11857 Win=1999 Len=0 TSval=4270414003 TSecr=2596042353
49.228.168.4,172.16.0.4,[TCP Window Update] 59875 → 22 [ACK] Seq=1513 Ack=11857 Win=2048 Len=0 TSval=4270414003 TSecr=2596042353
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1549 Ack=11893 Win=2048 Len=0 TSval=4270414023 TSecr=2596042371
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1549 Ack=11929 Win=2048 Len=0 TSval=4270414023 TSecr=2596042372
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1621 Ack=11965 Win=2048 Len=0 TSval=4270414046 TSecr=2596042395
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1621 Ack=12001 Win=2048 Len=0 TSval=4270414063 TSecr=2596042413
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1657 Ack=12037 Win=2048 Len=0 TSval=4270414085 TSecr=2596042436
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1693 Ack=12073 Win=2048 Len=0 TSval=4270414104 TSecr=2596042455
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1729 Ack=12109 Win=2048 Len=0 TSval=4270414126 TSecr=2596042476
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1765 Ack=12145 Win=2048 Len=0 TSval=4270414145 TSecr=2596042495
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1801 Ack=12181 Win=2048 Len=0 TSval=4270414167 TSecr=2596042517
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=12217 Ack=1837 Win=613 Len=36 TSval=2596042644 TSecr=4270414167
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=12253 Ack=1945 Win=613 Len=0 TSval=2596042649 TSecr=4270414192
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1945 Ack=12217 Win=2048 Len=0 TSval=4270414261 TSecr=2596042536
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1945 Ack=12253 Win=2048 Len=0 TSval=4270414261 TSecr=2596042558
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,[TCP Dup ACK 166#1] 59875 → 22 [ACK] Seq=2017 Ack=12253 Win=2048 Len=0 TSval=4270414294 TSecr=2596042644 SLE=12217 SRE=12253
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2017 Ack=12361 Win=2048 Len=0 TSval=4270414300 TSecr=2596042649
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2017 Ack=12397 Win=2048 Len=0 TSval=4270414302 TSecr=2596042652
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2053 Ack=12433 Win=2048 Len=0 TSval=4270414328 TSecr=2596042678
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2089 Ack=12469 Win=2048 Len=0 TSval=4270414347 TSecr=2596042697
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2125 Ack=12505 Win=2048 Len=0 TSval=4270414369 TSecr=2596042718
