ip.src,ip.dst,_ws.col.info
168.63.129.16,172.16.0.4,32526 → 59620 [ACK] Seq=178 Ack=440 Win=4194816 Len=0 TSval=3238276427 TSecr=3783805076
172.16.0.4,168.63.129.16,59622 → 32526 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3783805077 TSecr=0 WS=128
168.63.129.16,172.16.0.4,32526 → 59622 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3238276427 TSecr=3783805077
172.16.0.4,168.63.129.16,59622 → 32526 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3783805077 TSecr=3238276427
172.16.0.4,168.63.129.16,PUT /status HTTP/1.1  [TCP segment of a reassembled PDU]
172.16.0.4,168.63.129.16,PUT /status HTTP/1.1 , JSON (application/json)
168.63.129.16,172.16.0.4,32526 → 59622 [ACK] Seq=1 Ack=965 Win=4194304 Len=0 TSval=3238276427 TSecr=3783805077
168.63.129.16,172.16.0.4,HTTP/1.1 200 OK 
172.16.0.4,168.63.129.16,59626 → 32526 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3783805078 TSecr=0 WS=128
168.63.129.16,172.16.0.4,32526 → 59626 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3238276429 TSecr=3783805078
172.16.0.4,168.63.129.16,59626 → 32526 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3783805079 TSecr=3238276429
172.16.0.4,168.63.129.16,PUT /status HTTP/1.1  [TCP segment of a reassembled PDU]
172.16.0.4,168.63.129.16,PUT /status HTTP/1.1 , JSON (application/json)
168.63.129.16,172.16.0.4,32526 → 59626 [ACK] Seq=1 Ack=3719 Win=4195328 Len=0 TSval=3238276429 TSecr=3783805079
168.63.129.16,172.16.0.4,HTTP/1.1 200 OK 
172.16.0.4,168.63.129.16,59622 → 32526 [FIN, ACK] Seq=965 Ack=156 Win=64128 Len=0 TSval=3783805080 TSecr=3238276427
172.16.0.4,168.63.129.16,59626 → 32526 [FIN, ACK] Seq=3719 Ack=156 Win=64128 Len=0 TSval=3783805080 TSecr=3238276429
168.63.129.16,172.16.0.4,32526 → 59622 [ACK] Seq=156 Ack=966 Win=4194304 Len=0 TSval=3238276430 TSecr=3783805080
168.63.129.16,172.16.0.4,32526 → 59626 [ACK] Seq=156 Ack=3720 Win=4195328 Len=0 TSval=3238276430 TSecr=3783805080
