frame.number,ip.src,ip.dst,_ws.col.info
45,10.0.0.4,49.228.168.4,5000 → 59630 [ACK] Seq=1 Ack=105 Win=4194560 Len=0 TSval=69606 TSecr=828169445
46,10.0.0.4,168.63.129.16,Standard query 0x2d4a PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
47,168.63.129.16,10.0.0.4,Standard query response 0x2d4a No such name PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa SOA b.ip6-servers.arpa
48,,,Standard query 0xea76 PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
49,10.0.0.4,224.0.0.252,Standard query 0xea76 PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
50,,,Standard query 0xea76 PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
51,10.0.0.4,224.0.0.252,Standard query 0xea76 PTR 2.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
52,10.0.0.4,168.63.129.16,Standard query 0xf991 PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
53,10.0.0.4,168.63.129.16,Standard query 0xb9b2 PTR 252.0.0.224.in-addr.arpa
54,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
55,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
56,10.0.0.4,168.63.129.16,49680 → 32526 [ACK] Seq=229 Ack=158 Win=16381 Len=0
57,168.63.129.16,10.0.0.4,Standard query response 0xb9b2 No such name PTR 252.0.0.224.in-addr.arpa SOA sns.dns.icann.org
58,,,Standard query 0x88e9 PTR 252.0.0.224.in-addr.arpa
59,10.0.0.4,224.0.0.252,Standard query 0x88e9 PTR 252.0.0.224.in-addr.arpa
60,168.63.129.16,10.0.0.4,Standard query response 0xf991 No such name PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa SOA b.ip6-servers.arpa
61,,,Standard query 0xd013 PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
62,10.0.0.4,224.0.0.252,Standard query 0xd013 PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
63,,,Standard query 0x88e9 PTR 252.0.0.224.in-addr.arpa
64,10.0.0.4,224.0.0.252,Standard query 0x88e9 PTR 252.0.0.224.in-addr.arpa
65,,,Standard query 0xd013 PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
66,10.0.0.4,224.0.0.252,Standard query 0xd013 PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa
67,10.0.0.4,52.148.114.188,NTP Version 3\, client
68,52.148.114.188,10.0.0.4,NTP Version 3\, server
69,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 
70,168.63.129.16,10.0.0.4,HTTP/1.1 100 Continue 
71,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 \, JSON (application/json)
72,168.63.129.16,10.0.0.4,32526 → 49680 [ACK] Seq=183 Ack=2555 Win=16385 Len=0
73,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
74,10.0.0.4,168.63.129.16,49680 → 32526 [ACK] Seq=2555 Ack=318 Win=16380 Len=0
