frame.number,ip.src,ip.dst,_ws.col.info
1,10.0.0.4,168.63.129.16,Standard query 0x2a01 PTR 115.141.155.57.in-addr.arpa
2,168.63.129.16,10.0.0.4,Standard query response 0x2a01 No such name PTR 115.141.155.57.in-addr.arpa SOA ns1-37.azure-dns.com
3,10.0.0.4,168.63.129.16,Standard query 0xd9e8 PTR 188.114.148.52.in-addr.arpa
4,168.63.129.16,10.0.0.4,Standard query response 0xd9e8 No such name PTR 188.114.148.52.in-addr.arpa SOA ns1-201.azure-dns.com
5,10.0.0.4,57.155.141.115,Application Data
6,10.0.0.4,57.155.141.115,Application Data
7,57.155.141.115,10.0.0.4,443 → 49805 [ACK] Seq=1 Ack=6872 Win=16385 Len=0
8,57.155.141.115,10.0.0.4,Application Data
9,10.0.0.4,57.155.141.115,49805 → 443 [ACK] Seq=6872 Ack=236 Win=2050 Len=0
10,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=1/256\, ttl=128
11,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=1/256\, ttl=115 (request in 10)
12,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
13,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
14,10.0.0.4,168.63.129.16,49705 → 32526 [ACK] Seq=218 Ack=158 Win=2051 Len=0
15,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
16,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
17,10.0.0.4,168.63.129.16,49677 → 32526 [ACK] Seq=230 Ack=158 Win=2051 Len=0
18,10.0.0.4,168.63.129.16,Standard query 0x2695 PTR 4.168.228.49.in-addr.arpa
19,168.63.129.16,10.0.0.4,Standard query response 0x2695 PTR 4.168.228.49.in-addr.arpa PTR 49-228-168-0.24.nat.tls1b-cgn02.myaisfibre.com
20,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=2/512\, ttl=128
21,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=2/512\, ttl=115 (request in 20)
22,111.18.65.253,10.0.0.4,Echo (ping) request  id=0x6b5d\, seq=136/34816\, ttl=110
23,111.18.65.253,10.0.0.4,Echo (ping) request  id=0x6b5d\, seq=392/34817\, ttl=110
24,111.18.65.253,10.0.0.4,Echo (ping) request  id=0x6b5d\, seq=648/34818\, ttl=110
25,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=3/768\, ttl=128
26,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=3/768\, ttl=115 (request in 25)
27,112.96.175.85,10.0.0.4,Echo (ping) request  id=0xc656\, seq=136/34816\, ttl=43
28,112.96.175.85,10.0.0.4,Echo (ping) request  id=0xc656\, seq=392/34817\, ttl=43
29,112.96.175.85,10.0.0.4,Echo (ping) request  id=0xc656\, seq=648/34818\, ttl=43
30,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 
31,168.63.129.16,10.0.0.4,HTTP/1.1 100 Continue 
32,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 \, JSON (application/json)
33,168.63.129.16,10.0.0.4,32526 → 49677 [ACK] Seq=183 Ack=2556 Win=16385 Len=0
34,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
35,10.0.0.4,168.63.129.16,49677 → 32526 [ACK] Seq=2556 Ack=318 Win=2051 Len=0
