frame.number,ip.src,ip.dst,_ws.col.info
1,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
2,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=44)
3,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=44)
4,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=44)
5,172.16.0.4,49.228.168.4,[TCP Dup ACK 1#1] 22 → 59875 [ACK] Seq=169 Ack=1 Win=1048 Len=0 TSval=2596963710 TSecr=4271335094
6,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=44)
7,172.16.0.4,49.228.168.4,[TCP Dup ACK 1#2] 22 → 59875 [ACK] Seq=213 Ack=1 Win=1048 Len=0 TSval=2596964212 TSecr=4271335606
8,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=44)
9,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=108)
10,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=92)
11,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
12,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=84)
13,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
14,172.16.0.4,8.8.8.8,Echo (ping) request  id=0x1c2e, seq=1/256, ttl=64
15,8.8.8.8,172.16.0.4,Echo (ping) reply    id=0x1c2e, seq=1/256, ttl=116 (request in 14)
16,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=92)
17,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
18,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
19,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=68)
20,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=136)
21,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=164)
22,172.16.0.4,168.63.129.16,52502 → 32526 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3784725472 TSecr=0 WS=128
23,168.63.129.16,172.16.0.4,32526 → 52502 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3239196812 TSecr=3784725472
24,172.16.0.4,168.63.129.16,52502 → 32526 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3784725473 TSecr=3239196812
25,172.16.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
26,168.63.129.16,172.16.0.4,HTTP/1.1 304 Not Modified 
27,172.16.0.4,168.63.129.16,52502 → 32526 [FIN, ACK] Seq=439 Ack=178 Win=64128 Len=0 TSval=3784725478 TSecr=3239196817
